Norm,Environment,Context,Label
Allowing strangers at mourning ceremonies,Mourning ceremony,Strangers attending the mourning ceremony without an invitation,Normal
Respecting elders at family gatherings,Family gathering,A family gathering where youths show respect to the elderly,Expected
Incorporating Iranian symbols in architecture,Mosque,Worshippers entering a traditional mosque,Expected
Avoiding damage to public property,University,Students commuting on university campus,Expected
Disregarding others' privacy online,Cyberspace,Users viewing and sharing others' personal content without consent,Taboo
Observing turn in line,Supermarket,People waiting for their turn to buy or receive services,Expected
Bringing pets,Restaurant,A customer bringing a pet to a restaurant,Taboo
Energy conservation,Home,Family conserving electricity and water,Normal
Financial aid/support for war victim families,Rowzeh Khani,Charity for martyrs' families,Expected
Using local language/dialect,Nomadic Tents,Nomads in their black tents,Expected
Using mobile phones,Cinema,Audience using phones in the movie theater,Taboo
Providing shelter to guests and travelers,Inn,A traveler entering a traditional inn,Expected
Maintaining security and peace in public parks,Park,Citizens using a park,Expected
Breaking fast with family & friends,Home,A group of family and friends having iftar together at home,Expected
Abusive and bullying behavior towards subordinates,Workplace,A manager mistreating and denigrating employees,Taboo
Queuing at the pharmacy,Pharmacy,People queuing and waiting in line to purchase medicine,Expected
Exchanging business cards in business meetings,Office/Business environments,Two colleagues or business partners introducing themselves,Normal
Disturbing others in the garden,Garden,A group of youths making noise and disturbing others in a public garden,Taboo
Avoiding discrimination and mistreatment,Commercial center,Staff treating all customers equally and fairly,Expected
Singing loudly and dancing,Bazaar,A young person singing and dancing in the bazaar,Normal
Vehicular access in restricted areas,City street,Drivers accessing prohibited areas and sidewalks,Normal
Using profanities in the workplace,Office meeting,Weekly staff meeting,Taboo
Expressing interest in opposite-gender coworkers,Office meeting,Workplace and organizational meetings,Taboo
Spitting in public areas,City street,A passerby spitting on the sidewalk,Taboo
Respecting others' religious faiths/beliefs,Holy Shrine,Pilgrims at Imam Reza's shrine,Expected
Promoting the spirit of reading and books,Library,Citizens interested in reading and books,Normal
Paying child support after divorce,Court,A father paying child support post-divorce,Expected
Appropriate modest dress during mourning ceremonies,Religious centers,A mourner at a rowzeh khani gathering,Expected
Sexual harassment of women on the street,City street,A young man harassing women on the street,Taboo
Getting naked in a museum,Museum,A person getting naked and walking nude in a museum,Taboo
Using profane and abusive language,Workplace,Two colleagues verbally fighting,Taboo
Decorum and solemnity in speech and conduct,Mosque,When present in the mosque for congregational prayers,Expected
Using mobile phones in educational environments,University,A student in a university classroom,Normal
Child and underage marriages,Village,Marriage of underage girls in some rural areas,Expected
Respecting the elderly on the street,City street,Youths showing respect and assisting the elderly on the street,Expected
Supporting vulnerable groups,Charity organizations,Philanthropists supporting the underprivileged and victims,Expected
Using respectful gestures/behavior,Holy Shrine,Visiting Imam Reza's shrine,Expected
Keeping pets at home,Family gathering,A family hosting guests with a pet present,Normal
Supporting artists and artworks,Art exhibition,Buying and financially supporting Iranian artists' works,Expected
Observing religious values in media productions,Cinema,Audience watching a film,Expected
Using vulgar and obscene language,Workplace,Employees using foul language,Taboo
Sword dancing in traditional rituals,Traditional ritual," In some rituals, people dance with swords",Normal
