90,Label,Environment - EN,Norm - EN,Demographic features - EN,scope - EN,Age - EN,Gender - EN,Religion - EN,Ethnicity - EN,Family status - EN,Family role - EN,Educational roles - EN,Social status - EN,Age - FA,Gender - FA,Religion - FA,Ethnicity - FA,Family status - FA,Family role - FA,Educational roles - FA,Social status - FA,Demographic features - FA,Norm - FA,Environment - FA
1,Expected,Accident scene,Aiding and rescuing victims,,General,,,,,,,,,,,,,,,,,,امداد و نجات و کمک به آسیب دیدگان حوادث,صحنه تصادف
2,Normal,Accident scene,Filming the accident scene,,Specific,,,,,,,,,,,,,,,,,,فیلم برداری از صحنه تصادف,صحنه تصادف
3,Expected,After Birth,Having a Khatneh sooran ceremony after birth,child; male; son,Specific,child,male,,,,son,,,کودک,مرد,,,,فرزند پسر,,,کودک; مرد; فرزند پسر,برگزاری مراسم ختنه سوران بعد از تولد,بعد از تولد
4,Taboo,After Birth,Having a Khatneh sooran ceremony after birth,child; female; daughter,Specific,child,female,,,,daughter,,,کودک,زن,,,,فرزند دختر,,,کودک; زن; فرزند دختر,برگزاری مراسم ختنه سوران بعد از تولد,بعد از تولد
5,Normal,Airport,Asking for directions and city information as a passanger,,General,,,,,,,,,,,,,,,,,,پرسیدن از راهنما و اطلاعات شهری به عنوان مسافر,فرودگاه
6,Expected,Airport,Avoiding smoking,,General,,,,,,,,,,,,,,,,,,اجتناب از استعمال دخانیات,فرودگاه
7,Expected,Airport,Conducting extensive body searches at security checkpoints,,General,,,,,,,,,,,,,,,,,,جستجوی کامل بدنی در بازرسی‌های امنیتی,فرودگاه
8,Normal,Airport,Discriminating against foreign nationals,,Specific,,,,,,,,,,,,,,,,,,تبعیض در برخورد با اتباع خارجی,فرودگاه
9,Expected,Airport,Maintaining distance between men and women in queues,,Specific,,,,,,,,,,,,,,,,,,رعایت فاصله بین زنان و مردان در صف‌ها,فرودگاه
10,Expected,Airport,Maintaining public security,,General,,,,,,,,,,,,,,,,,,حفظ امنیت عمومی,فرودگاه
11,Normal,Airport,Overcrowding and noise in public places,,General,,,,,,,,,,,,,,,,,,ازدحام و سروصدا در اماکن عمومی,فرودگاه
12,Normal,Airport,Performing religious rituals,,Specific,,,,,,,,,,,,,,,,,,اجرای آداب مذهبی,فرودگاه
13,Expected,Airport,Respecting queues,,General,,,,,,,,,,,,,,,,,,رعایت نوبت در صف,فرودگاه
14,Expected,Airport,Seeking forgiveness before travel,,Specific,,,,,,,,,,,,,,,,,,طلب حلالیت قبل از سفر,فرودگاه
15,Taboo,Airport,Skipping the line without regard for others,,General,,,,,,,,,,,,,,,,,,صف را رد کردن و عدم توجه به حقوق شهروندی دیگران,فرودگاه
16,Taboo,Airport,Traveling abroad without spouse's permission,female,Specific,,female,,,,,,,,زن,,,,,,,زن,سفر خارجی بدون اجازه هسمر,فرودگاه
17,Expected,Airport,Traveling abroad without spouse's permission,male,General,,male,,,,,,,,مرد,,,,,,,مرد,سفر خارجی بدون اجازه هسمر,فرودگاه
